Sent,Recv
123,15
123,15
126,15
120,15
121,15
122,187
121,0
120,62
118,62
119,62
118,118
117,118
118,64
118,117
121,64
121,120
118,120
119,120
116,64
118,115
120,115
121,115
118,115
121,64
116,64
116,64
120,115
122,115
120,64
118,119
114,119
115,64
119,114
118,114
116,114
119,64
119,119
120,64
119,119
121,119
118,119
118,9
120,9
116,9
124,0
119,64
119,115
119,115
122,64
120,90
115,90
121,90
118,90
118,128
116,128
119,134
117,134
118,134
118,237
122,237
122,237
118,237
118,237
118,237
120,237
118,237
117,237
120,237
117,237
118,0
115,12
120,12
122,128
120,158
121,17
117,192
119,238
116,13
118,128
120,180
118,180
115,64
116,105
115,105
119,105
122,128
121,162
114,0
121,15
120,101
115,128
118,142
120,18
119,18
116,18
119,18
114,18
118,64
120,117
118,117
117,117
120,117
120,64
121,64
120,120
120,120
119,64
118,118
118,64
118,118
116,118
